date,publish_date,aaii_bull,aaii_bear,aaii_bull_bear_spread,aaii_bull_pctl,aaii_spread_pctl
1987-07-24,1987-07-24,0.36,0.14,0.21999999999999997,,
1987-07-31,1987-07-31,0.26,0.26,0.0,,
1987-08-07,1987-08-07,0.56,0.29,0.2700000000000001,,
1987-08-14,1987-08-14,0.45,0.2,0.25,,
1987-08-21,1987-08-21,0.66,0.06,0.6000000000000001,,
1987-08-28,1987-08-28,0.52,0.3,0.22000000000000003,,
1987-09-04,1987-09-04,0.42,0.41,0.010000000000000009,,
1987-09-11,1987-09-11,0.5,0.27,0.22999999999999998,,
1987-09-18,1987-09-18,0.6,0.11,0.49,,
1987-09-25,1987-09-25,0.53,0.3,0.23000000000000004,,
1987-10-02,1987-10-02,0.44,0.3,0.14,,
1987-10-09,1987-10-09,0.46,0.15,0.31000000000000005,,
1987-10-16,1987-10-16,0.37,0.33,0.03999999999999998,,
1987-10-23,1987-10-23,0.39,0.31,0.08000000000000002,,
1987-10-30,1987-10-30,0.44,0.33,0.10999999999999999,,
1987-11-06,1987-11-06,0.47,0.22,0.24999999999999997,,
1987-11-13,1987-11-13,0.31,0.28,0.02999999999999997,,
1987-11-20,1987-11-20,0.39,0.19,0.2,,
1987-11-27,1987-11-27,0.27,0.27,0.0,,
1987-12-04,1987-12-04,0.25,0.42,-0.16999999999999998,,
1987-12-11,1987-12-11,0.23,0.32,-0.09,,
1987-12-18,1987-12-18,0.33,0.27,0.06,,
1987-12-24,1987-12-24,0.28,0.2,0.08000000000000002,,
1987-12-31,1987-12-31,0.25,0.26,-0.010000000000000009,,
1988-01-08,1988-01-08,0.34,0.2,0.14,,
1988-01-15,1988-01-15,0.34,0.26,0.08000000000000002,,
1988-01-22,1988-01-22,0.21,0.31,-0.1,,
1988-01-29,1988-01-29,0.26,0.29,-0.02999999999999997,,
1988-02-05,1988-02-05,0.32,0.15,0.17,,
1988-02-12,1988-02-12,0.32,0.22,0.1,,
1988-02-19,1988-02-19,0.27,0.24,0.030000000000000027,,
1988-02-26,1988-02-26,0.3,0.19,0.10999999999999999,,
1988-03-04,1988-03-04,0.38,0.22,0.16,,
1988-03-11,1988-03-11,0.43,0.17,0.26,,
1988-03-18,1988-03-18,0.41,0.1,0.30999999999999994,,
1988-03-25,1988-03-25,0.45,0.17,0.28,,
1988-04-01,1988-04-01,0.35,0.2,0.14999999999999997,,
1988-04-08,1988-04-08,0.33,0.19,0.14,,
1988-04-15,1988-04-15,0.23,0.24,-0.009999999999999981,,
1988-04-22,1988-04-22,0.23,0.2,0.03,,
1988-04-29,1988-04-29,0.22,0.3,-0.07999999999999999,,
1988-05-06,1988-05-06,0.38,0.2,0.18,,
1988-05-13,1988-05-13,0.19,0.25,-0.06,,
1988-05-20,1988-05-20,0.23,0.25,-0.01999999999999999,,
1988-05-27,1988-05-27,0.28,0.2,0.08000000000000002,,
1988-06-03,1988-06-03,0.26,0.12,0.14,,
1988-06-10,1988-06-10,0.28,0.23,0.05000000000000002,,
1988-06-17,1988-06-17,0.29,0.21,0.07999999999999999,,
1988-06-24,1988-06-24,0.33,0.23,0.1,,
1988-07-01,1988-07-01,0.45,0.17,0.28,,
1988-07-08,1988-07-08,0.35,0.15,0.19999999999999998,,
1988-07-15,1988-07-15,0.26,0.37,-0.10999999999999999,25.0,3.8461538461538463
1988-07-22,1988-07-22,0.16,0.26,-0.1,1.8867924528301887,7.547169811320755
1988-07-29,1988-07-29,0.23,0.23,0.0,16.666666666666664,25.925925925925924
1988-08-05,1988-08-05,0.21,0.3,-0.09,7.2727272727272725,10.909090909090908
1988-08-12,1988-08-12,0.26,0.26,0.0,30.357142857142854,28.57142857142857
1988-08-19,1988-08-19,0.19,0.28,-0.09000000000000002,5.263157894736842,8.771929824561402
1988-08-26,1988-08-26,0.28,0.32,-0.03999999999999998,41.37931034482759,17.24137931034483
1988-09-02,1988-09-02,0.18,0.39,-0.21000000000000002,3.389830508474576,1.694915254237288
1988-09-09,1988-09-09,0.17,0.31,-0.13999999999999999,3.3333333333333335,5.0
1988-09-16,1988-09-16,0.24,0.3,-0.06,22.950819672131146,19.672131147540984
1988-09-23,1988-09-23,0.2,0.27,-0.07,9.67741935483871,17.741935483870968
1988-09-30,1988-09-30,0.26,0.3,-0.03999999999999998,36.507936507936506,23.809523809523807
1988-10-07,1988-10-07,0.13,0.38,-0.25,1.5625,1.5625
1988-10-14,1988-10-14,0.22,0.32,-0.1,16.923076923076923,12.307692307692308
1988-10-21,1988-10-21,0.26,0.23,0.03,39.39393939393939,43.93939393939394
1988-10-28,1988-10-28,0.4,0.22,0.18000000000000002,76.11940298507463,76.11940298507463
1988-11-04,1988-11-04,0.35,0.19,0.15999999999999998,66.17647058823529,70.58823529411765
1988-11-11,1988-11-11,0.23,0.21,0.020000000000000018,24.637681159420293,39.130434782608695
1988-11-18,1988-11-18,0.3,0.36,-0.06,51.42857142857142,22.857142857142858
1988-11-25,1988-11-25,0.17,0.39,-0.22,5.633802816901409,2.8169014084507045
1988-12-02,1988-12-02,0.19,0.34,-0.15000000000000002,11.11111111111111,6.944444444444445
1988-12-09,1988-12-09,0.17,0.39,-0.22,6.8493150684931505,4.10958904109589
1988-12-16,1988-12-16,0.24,0.22,0.01999999999999999,29.72972972972973,41.891891891891895
1988-12-23,1988-12-23,0.22,0.32,-0.1,20.0,16.0
1988-12-30,1988-12-30,0.24,0.22,0.01999999999999999,31.57894736842105,43.42105263157895
1989-01-06,1989-01-06,0.26,0.23,0.03,44.15584415584416,49.35064935064935
1989-01-13,1989-01-13,0.36,0.2,0.15999999999999998,71.7948717948718,74.35897435897436
1989-01-20,1989-01-20,0.36,0.17,0.18999999999999997,72.15189873417721,79.74683544303798
1989-01-27,1989-01-27,0.32,0.19,0.13,58.75,65.0
1989-02-03,1989-02-03,0.33,0.23,0.1,62.96296296296296,61.72839506172839
1989-02-10,1989-02-10,0.43,0.26,0.16999999999999998,84.14634146341463,75.60975609756098
1989-02-17,1989-02-17,0.42,0.17,0.24999999999999997,81.92771084337349,89.1566265060241
1989-02-24,1989-02-24,0.29,0.26,0.02999999999999997,50.0,42.857142857142854
1989-03-03,1989-03-03,0.29,0.36,-0.07,50.588235294117645,21.176470588235293
1989-03-10,1989-03-10,0.13,0.35,-0.21999999999999997,2.3255813953488373,4.651162790697675
1989-03-17,1989-03-17,0.28,0.29,-0.009999999999999953,48.275862068965516,33.33333333333333
1989-03-23,1989-03-23,0.29,0.3,-0.010000000000000009,52.27272727272727,31.818181818181817
1989-03-31,1989-03-31,0.18,0.4,-0.22000000000000003,8.98876404494382,2.247191011235955
1989-04-07,1989-04-07,0.23,0.32,-0.09,26.666666666666668,20.0
1989-04-14,1989-04-14,0.25,0.33,-0.08000000000000002,32.967032967032964,20.87912087912088
1989-04-21,1989-04-21,0.21,0.28,-0.07000000000000003,16.304347826086957,22.82608695652174
1989-04-28,1989-04-28,0.31,0.29,0.020000000000000018,58.06451612903226,46.236559139784944
1989-05-05,1989-05-05,0.3,0.3,0.0,56.38297872340425,41.48936170212766
1989-05-12,1989-05-12,0.38,0.19,0.19,77.89473684210526,82.10526315789474
1989-05-19,1989-05-19,0.43,0.19,0.24,86.45833333333334,88.54166666666666
1989-05-26,1989-05-26,0.48,0.21,0.27,93.81443298969072,92.78350515463917
1989-06-02,1989-06-02,0.42,0.31,0.10999999999999999,82.6530612244898,65.3061224489796
1989-06-09,1989-06-09,0.43,0.23,0.19999999999999998,85.85858585858585,81.81818181818183
1989-06-16,1989-06-16,0.32,0.31,0.010000000000000009,59.0,41.0
1989-06-23,1989-06-23,0.33,0.45,-0.12,63.366336633663366,9.900990099009901
1989-06-30,1989-06-30,0.4,0.26,0.14,78.43137254901961,70.58823529411765
1989-07-07,1989-07-07,0.37,0.31,0.06,71.84466019417476,54.36893203883495
1989-07-14,1989-07-14,0.22,0.48,-0.26,18.269230769230766,0.9615384615384616
